"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"336";"USDJPY_M1";"Sell";"2015.09.17 20:00:00";"119.884";"0.10000";"2015.09.17 21:00:00";"120.234";"-35.00";"11024.90";"IST";"SL";"-35.00";"4.10";"1h 0m";""
"337";"USDJPY_M1";"Sell";"2015.09.17 22:00:00";"120.188";"0.10000";"2015.09.20 21:00:00";"120.131";"5.70";"11030.60";"IST";"End Of Friday";"-24.30";"111.40";"2d 23h 0m";""
"338";"USDJPY_M1";"Buy";"2015.09.20 21:00:00";"120.131";"0.10000";"2015.09.21 00:00:00";"119.781";"-35.00";"10995.60";"IST";"SL";"-35.00";"1.40";"3h 0m";""
"339";"USDJPY_M1";"Sell";"2015.09.21 16:00:00";"120.464";"0.10000";"2015.09.25 08:00:00";"120.814";"-35.00";"10960.60";"IST";"SL";"-35.00";"122.10";"3d 16h 0m";""
"340";"USDJPY_M1";"Sell";"2015.09.25 13:00:00";"120.976";"0.10000";"2015.09.27 21:00:00";"120.529";"44.70";"11005.30";"IST";"End Of Friday";"0.00";"50.70";"2d 8h 0m";""
"341";"USDJPY_M1";"Sell";"2015.09.27 21:00:00";"120.509";"0.10000";"2015.10.02 14:00:00";"118.709";"180.00";"11185.30";"IST";"PT";"-10.20";"180.00";"4d 17h 0m";""
"342";"USDJPY_M1";"Sell";"2015.10.02 15:00:00";"119.215";"0.10000";"2015.10.02 16:00:00";"119.565";"-35.00";"11150.30";"IST";"SL";"-35.00";"3.90";"1h 0m";""
"343";"USDJPY_M1";"Buy";"2015.10.02 19:00:00";"119.889";"0.10000";"2015.10.04 21:00:00";"119.961";"7.20";"11157.50";"IST";"End Of Friday";"-1.80";"24.20";"2d 2h 0m";""
"344";"USDJPY_M1";"Buy";"2015.10.05 05:00:00";"120.023";"0.10000";"2015.10.08 07:00:00";"119.673";"-35.00";"11122.50";"IST";"SL";"-35.00";"54.50";"3d 2h 0m";""
"345";"USDJPY_M1";"Buy";"2015.10.08 17:00:00";"119.934";"0.10000";"2015.10.11 21:00:00";"120.170";"23.60";"11146.10";"IST";"End Of Friday";"-25.40";"41.20";"3d 4h 0m";""
"346";"USDJPY_M1";"Sell";"2015.10.11 21:00:00";"120.170";"0.10000";"2015.10.15 07:00:00";"118.370";"180.00";"11326.10";"IST";"PT";"-10.70";"180.00";"3d 10h 0m";""
"347";"USDJPY_M1";"Buy";"2015.10.15 15:00:00";"118.542";"0.10000";"2015.10.18 21:00:00";"119.364";"82.20";"11408.30";"IST";"End Of Friday";"-31.20";"111.90";"3d 6h 0m";""
"348";"USDJPY_M1";"Sell";"2015.10.18 23:00:00";"119.382";"0.10000";"2015.10.20 07:00:00";"119.732";"-35.00";"11373.30";"IST";"SL";"-35.00";"22.30";"1d 8h 0m";""
"349";"USDJPY_M1";"Sell";"2015.10.20 08:00:00";"119.652";"0.10000";"2015.10.21 04:00:00";"120.002";"-35.00";"11338.30";"IST";"SL";"-35.00";"16.40";"20h 0m";""
"350";"USDJPY_M1";"Sell";"2015.10.21 05:00:00";"119.965";"0.10000";"2015.10.22 13:00:00";"120.315";"-35.00";"11303.30";"IST";"SL";"-35.00";"33.00";"1d 8h 0m";""
"351";"USDJPY_M1";"Buy";"2015.10.22 14:00:00";"120.447";"0.10000";"2015.10.25 21:00:00";"121.434";"98.70";"11402.00";"IST";"End Of Friday";"-22.00";"103.30";"3d 7h 0m";""
"352";"USDJPY_M1";"Sell";"2015.10.26 00:00:00";"121.318";"0.10000";"2015.11.01 22:00:00";"120.375";"94.30";"11496.30";"IST";"End Of Friday";"-18.60";"127.10";"6d 22h 0m";""
"353";"USDJPY_M1";"Buy";"2015.11.01 22:00:00";"120.375";"0.10000";"2015.11.06 13:00:00";"122.175";"180.00";"11676.30";"IST";"PT";"-11.80";"180.00";"4d 15h 0m";""
